city_state	Row Labels	City	County	Latitude	Longitude
"SHERMAN OAKS, CA"	CA	SHERMAN OAKS	LOS ANGELES	34.14789975	-118.452148
"SHINGLE SPRINGS, CA"	CA	SHINGLE SPRINGS	EL DORADO	38.616424	-120.973156
"SHINGLETOWN, CA"	CA	SHINGLETOWN	SHASTA	40.517957	-121.857594
"SHOSHONE, CA"	CA	SHOSHONE	INYO	36.191805	-116.414864
"SIERRA CITY, CA"	CA	SIERRA CITY	SIERRA	39.549639	-120.67438
"SIERRA MADRE, CA"	CA	SIERRA MADRE	LOS ANGELES	34.1651785	-118.049427
"SIERRAVILLE, CA"	CA	SIERRAVILLE	SIERRA	39.576818	-120.218991
"SIGNAL HILL, CA"	CA	SIGNAL HILL	LOS ANGELES	33.80438	-118.167236
"SILVERADO, CA"	CA	SILVERADO	ORANGE	33.751139	-117.607801
"SIMI VALLEY, CA"	CA	SIMI VALLEY	VENTURA	34.2815064	-118.748855
"SKYFOREST, CA"	CA	SKYFOREST	SAN BERNARDINO	34.211236	-117.124233
"SLOUGHHOUSE, CA"	CA	SLOUGHHOUSE	SACRAMENTO	38.514224	-121.125248
"SMARTSVILLE, CA"	CA	SMARTSVILLE	NEVADA	39.175252	-121.282126
"SMITH RIVER, CA"	CA	SMITH RIVER	DEL NORTE	41.936338	-124.128562
"SNELLING, CA"	CA	SNELLING	MERCED	37.534812	-120.412067
"SODA SPRINGS, CA"	CA	SODA SPRINGS	NEVADA	39.417438	-120.469796
"SOLANA BEACH, CA"	CA	SOLANA BEACH	SAN DIEGO	32.992166	-117.257113
"SOLEDAD, CA"	CA	SOLEDAD	MONTEREY	36.386325	-121.345314
"SOLVANG, CA"	CA	SOLVANG	SANTA BARBARA	34.599652	-120.129705
"SOMERSET, CA"	CA	SOMERSET	EL DORADO	38.597874	-120.534826
"SOMES BAR, CA"	CA	SOMES BAR	SISKIYOU	41.61334	-123.361608
"SOMIS, CA"	CA	SOMIS	VENTURA	34.299256	-119.041069
"SONOMA, CA"	CA	SONOMA	SONOMA	38.245511	-122.462108
"SONORA, CA"	CA	SONORA	TUOLUMNE	37.98387	-120.389676
"SOQUEL, CA"	CA	SOQUEL	SANTA CRUZ	37.032279	-121.943814
"SOULSBYVILLE, CA"	CA	SOULSBYVILLE	TUOLUMNE	37.995986	-120.260239
"SOUTH DOS PALOS, CA"	CA	SOUTH DOS PALOS	MERCED	36.957132	-120.650573
"SOUTH EL MONTE, CA"	CA	SOUTH EL MONTE	LOS ANGELES	34.044795	-118.052018
"SOUTH GATE, CA"	CA	SOUTH GATE	LOS ANGELES	33.938527	-118.190404
"SOUTH LAKE TAHOE, CA"	CA	SOUTH LAKE TAHOE	EL DORADO	38.93109175	-120.094209
"SOUTH PASADENA, CA"	CA	SOUTH PASADENA	LOS ANGELES	34.114612	-118.1531085
"SOUTH SAN FRANCISCO, CA"	CA	SOUTH SAN FRANCISCO	SAN MATEO	37.656323	-122.414764
"SPRECKELS, CA"	CA	SPRECKELS	MONTEREY	36.624576	-121.647613
"SPRING VALLEY, CA"	CA	SPRING VALLEY	SAN DIEGO	32.729073	-116.9824285
"SPRINGVILLE, CA"	CA	SPRINGVILLE	TULARE	36.16904	-118.669956
"SQUAW VALLEY, CA"	CA	SQUAW VALLEY	FRESNO	36.742289	-119.192664
"STANDARD, CA"	CA	STANDARD	TUOLUMNE	37.9844	-120.3814
"STANDISH, CA"	CA	STANDISH	LASSEN	40.356891	-120.383367
"STANFORD, CA"	CA	STANFORD	SANTA CLARA	37.423994	-122.167605
"STANTON, CA"	CA	STANTON	ORANGE	33.795232	-117.998295
"STEVENSON RANCH, CA"	CA	STEVENSON RANCH	LOS ANGELES	34.37075	-118.616305
"STEVINSON, CA"	CA	STEVINSON	MERCED	37.330485	-120.890864
"STEWARTS POINT, CA"	CA	STEWARTS POINT	SONOMA	38.697084	-123.357458
"STINSON BEACH, CA"	CA	STINSON BEACH	MARIN	37.916111	-122.662817
"STIRLING CITY, CA"	CA	STIRLING CITY	BUTTE	39.903758	-121.527948
"STOCKTON, CA"	CA	STOCKTON	SAN JOAQUIN	37.97298911	-121.2977738
"STONYFORD, CA"	CA	STONYFORD	COLUSA	39.271407	-122.497326
"STORRIE, CA"	CA	STORRIE	PLUMAS	39.9071	-121.3454
"STRATFORD, CA"	CA	STRATFORD	KINGS	36.130746	-119.811357
"STRATHMORE, CA"	CA	STRATHMORE	TULARE	36.147786	-119.088946
"STRAWBERRY, CA"	CA	STRAWBERRY	TUOLUMNE	38.2072	-119.9974
"STRAWBERRY VALLEY, CA"	CA	STRAWBERRY VALLEY	YUBA	39.696707	-121.016623
"STUDIO CITY, CA"	CA	STUDIO CITY	LOS ANGELES	34.1556475	-118.3848275
"SUGARLOAF, CA"	CA	SUGARLOAF	SAN BERNARDINO	34.243014	-116.831303
"SUISUN CITY, CA"	CA	SUISUN CITY	SOLANO	38.155588	-121.945124
"SULTANA, CA"	CA	SULTANA	TULARE	36.545257	-119.338395
"SUMMERLAND, CA"	CA	SUMMERLAND	SANTA BARBARA	34.418729	-119.594296
"SUN CITY, CA"	CA	SUN CITY	RIVERSIDE	33.723104	-117.1907585
"SUN VALLEY, CA"	CA	SUN VALLEY	LOS ANGELES	34.224656	-118.356952
"SUNLAND, CA"	CA	SUNLAND	LOS ANGELES	34.275957	-118.3080385
"SUNNYVALE, CA"	CA	SUNNYVALE	SANTA CLARA	37.3811492	-122.0248028
"SUNOL, CA"	CA	SUNOL	ALAMEDA	37.566652	-121.882362
"SUNSET BEACH, CA"	CA	SUNSET BEACH	ORANGE	33.717789	-118.071046
"SURFSIDE, CA"	CA	SURFSIDE	ORANGE	33.728399	-118.085506
"SUSANVILLE, CA"	CA	SUSANVILLE	LASSEN	40.486563	-120.666605
"SUTTER, CA"	CA	SUTTER	SUTTER	39.208599	-121.831582
"SUTTER CREEK, CA"	CA	SUTTER CREEK	AMADOR	38.433738	-120.782084
"SYLMAR, CA"	CA	SYLMAR	LOS ANGELES	34.328891	-118.3755305
"TAFT, CA"	CA	TAFT	KERN	35.173711	-119.428526
"TAHOE CITY, CA"	CA	TAHOE CITY	PLACER	39.141161	-120.175474
"TAHOE VISTA, CA"	CA	TAHOE VISTA	PLACER	39.24652	-120.0573
"TAHOMA, CA"	CA	TAHOMA	EL DORADO	39.060248	-120.156832
"TALMAGE, CA"	CA	TALMAGE	MENDOCINO	39.130998	-123.1629
"TARZANA, CA"	CA	TARZANA	LOS ANGELES	34.164203	-118.549673
"TAYLORSVILLE, CA"	CA	TAYLORSVILLE	PLUMAS	40.045084	-120.740954
"TECATE, CA"	CA	TECATE	SAN DIEGO	32.5827485	-116.6438725
"TECOPA, CA"	CA	TECOPA	INYO	35.923703	-115.870235
"TEHACHAPI, CA"	CA	TEHACHAPI	KERN	35.140252	-118.463808
"TEHAMA, CA"	CA	TEHAMA	TEHAMA	40.02159	-122.128876
"TEMECULA, CA"	CA	TEMECULA	RIVERSIDE	33.5082238	-117.1278082
"TEMPLE CITY, CA"	CA	TEMPLE CITY	LOS ANGELES	34.103091	-118.050886
"TEMPLETON, CA"	CA	TEMPLETON	SAN LUIS OBISPO	35.529975	-120.718095
"TERMO, CA"	CA	TERMO	LASSEN	40.891882	-120.550648
"TERRA BELLA, CA"	CA	TERRA BELLA	TULARE	35.956976	-119.057951
"THE SEA RANCH, CA"	CA	THE SEA RANCH	SONOMA	38.728295	-123.474098
"THERMAL, CA"	CA	THERMAL	RIVERSIDE	33.152598	-115.973937
"THORNTON, CA"	CA	THORNTON	SAN JOAQUIN	38.188316	-121.487917
"THOUSAND OAKS, CA"	CA	THOUSAND OAKS	VENTURA	34.19347467	-118.8456893
"THOUSAND PALMS, CA"	CA	THOUSAND PALMS	RIVERSIDE	33.826901	-116.382132
"THREE RIVERS, CA"	CA	THREE RIVERS	TULARE	36.435979	-118.742725
"TIPTON, CA"	CA	TIPTON	TULARE	36.038888	-119.320673
"TOLLHOUSE, CA"	CA	TOLLHOUSE	FRESNO	36.996255	-119.389369
"TOLUCA LAKE, CA"	CA	TOLUCA LAKE	LOS ANGELES	34.1722	-118.3782
"TOMALES, CA"	CA	TOMALES	MARIN	38.24249	-122.906882
"TOPANGA, CA"	CA	TOPANGA	LOS ANGELES	34.089936	-118.609224
"TOPAZ, CA"	CA	TOPAZ	MONO	38.612372	-119.524604
"TORRANCE, CA"	CA	TORRANCE	LOS ANGELES	33.8406338	-118.3334309
"TRABUCO CANYON, CA"	CA	TRABUCO CANYON	ORANGE	33.647384	-117.5705055
"TRACY, CA"	CA	TRACY	SAN JOAQUIN	37.6892288	-121.4686326
"TRANQUILLITY, CA"	CA	TRANQUILLITY	FRESNO	36.668542	-120.296743
"TRAVER, CA"	CA	TRAVER	TULARE	36.455351	-119.486633
"TRAVIS AFB, CA"	CA	TRAVIS AFB	SOLANO	38.273004	-121.933758
"TRES PINOS, CA"	CA	TRES PINOS	SAN BENITO	36.7811	-121.2576
"TRINIDAD, CA"	CA	TRINIDAD	HUMBOLDT	41.132387	-124.047723
"TRINITY CENTER, CA"	CA	TRINITY CENTER	TRINITY	41.105815	-122.709845
"TRONA, CA"	CA	TRONA	SAN BERNARDINO	35.7139365	-117.3756085
"TRUCKEE, CA"	CA	TRUCKEE	NEVADA	39.32961233	-120.23956
"TUJUNGA, CA"	CA	TUJUNGA	LOS ANGELES	34.266241	-118.261401
"TULARE, CA"	CA	TULARE	TULARE	36.190204	-119.35476
"TULELAKE, CA"	CA	TULELAKE	SISKIYOU	41.738198	-121.459041
"TUOLUMNE, CA"	CA	TUOLUMNE	TUOLUMNE	37.94721	-120.21581
"TUPMAN, CA"	CA	TUPMAN	KERN	35.238934	-119.296823
"TURLOCK, CA"	CA	TURLOCK	STANISLAUS	37.50003533	-120.8501643
"TUSTIN, CA"	CA	TUSTIN	ORANGE	33.73762767	-117.8127313
"TWAIN, CA"	CA	TWAIN	PLUMAS	40.031208	-121.118713
"TWAIN HARTE, CA"	CA	TWAIN HARTE	TUOLUMNE	38.048368	-120.208711
"TWENTYNINE PALMS, CA"	CA	TWENTYNINE PALMS	SAN BERNARDINO	34.384956	-115.9542455
"TWIN BRIDGES, CA"	CA	TWIN BRIDGES	EL DORADO	38.807585	-120.12826
"TWIN PEAKS, CA"	CA	TWIN PEAKS	SAN BERNARDINO	34.2422	-117.2312
"UKIAH, CA"	CA	UKIAH	MENDOCINO	39.131039	-123.244058
"UNION CITY, CA"	CA	UNION CITY	ALAMEDA	37.602056	-122.044443
"UNIVERSAL CITY, CA"	CA	UNIVERSAL CITY	LOS ANGELES	34.137606	-118.353032
"UPLAND, CA"	CA	UPLAND	SAN BERNARDINO	34.117172	-117.6563133
"UPPER LAKE, CA"	CA	UPPER LAKE	LAKE	39.215998	-122.920326
"VACAVILLE, CA"	CA	VACAVILLE	SOLANO	38.374036	-121.972807
"VALENCIA, CA"	CA	VALENCIA	LOS ANGELES	34.35799667	-118.566282
"VALLECITO, CA"	CA	VALLECITO	CALAVERAS	38.101862	-120.46942
"VALLEJO, CA"	CA	VALLEJO	SOLANO	38.11370375	-122.2573238
"VALLEY CENTER, CA"	CA	VALLEY CENTER	SAN DIEGO	33.258196	-116.981233
"VALLEY FORD, CA"	CA	VALLEY FORD	SONOMA	38.31642	-122.92668
"VALLEY SPRINGS, CA"	CA	VALLEY SPRINGS	CALAVERAS	38.163789	-120.830425
"VALLEY VILLAGE, CA"	CA	VALLEY VILLAGE	LOS ANGELES	34.1685475	-118.38955
"VALYERMO, CA"	CA	VALYERMO	LOS ANGELES	34.301003	-117.91326
"VAN NUYS, CA"	CA	VAN NUYS	LOS ANGELES	34.18754262	-118.4511254
"VENICE, CA"	CA	VENICE	LOS ANGELES	33.992331	-118.461605
"VENTURA, CA"	CA	VENTURA	VENTURA	34.28687038	-119.2743945
"VERDUGO CITY, CA"	CA	VERDUGO CITY	LOS ANGELES	34.2114	-118.2389
"VERNALIS, CA"	CA	VERNALIS	SAN JOAQUIN	37.63	-121.249776
"VICTOR, CA"	CA	VICTOR	SAN JOAQUIN	38.1384	-121.2053
"VICTORVILLE, CA"	CA	VICTORVILLE	SAN BERNARDINO	34.5257275	-117.3272878
"VIDAL, CA"	CA	VIDAL	SAN BERNARDINO	34.253486	-114.774466
"VILLA GRANDE, CA"	CA	VILLA GRANDE	SONOMA	38.4656	-123.0353
"VILLA PARK, CA"	CA	VILLA PARK	ORANGE	33.816502	-117.810302
"VINA, CA"	CA	VINA	TEHAMA	39.957806	-122.013962
"VINEBURG, CA"	CA	VINEBURG	SONOMA	38.2699	-122.4419
"VINTON, CA"	CA	VINTON	PLUMAS	39.72328	-120.224979
"VISALIA, CA"	CA	VISALIA	TULARE	36.34174483	-119.3093778
"VISTA, CA"	CA	VISTA	SAN DIEGO	33.192839	-117.235917
"VOLCANO, CA"	CA	VOLCANO	AMADOR	38.470405	-120.608306
"WALLACE, CA"	CA	WALLACE	CALAVERAS	38.191273	-120.95693
"WALNUT, CA"	CA	WALNUT	LOS ANGELES	34.01787367	-117.861112
"WALNUT CREEK, CA"	CA	WALNUT CREEK	CONTRA COSTA	37.894711	-122.042963
"WALNUT GROVE, CA"	CA	WALNUT GROVE	SACRAMENTO	38.233596	-121.548819
"WARNER SPRINGS, CA"	CA	WARNER SPRINGS	SAN DIEGO	33.262712	-116.648582
"WASCO, CA"	CA	WASCO	KERN	35.6308	-119.421502
"WASHINGTON, CA"	CA	WASHINGTON	NEVADA	39.338994	-120.791136
"WATERFORD, CA"	CA	WATERFORD	STANISLAUS	37.688133	-120.65647
"WATSONVILLE, CA"	CA	WATSONVILLE	SANTA CRUZ	36.9266365	-121.7399155
"WAUKENA, CA"	CA	WAUKENA	TULARE	36.117869	-119.518538
"WEAVERVILLE, CA"	CA	WEAVERVILLE	TRINITY	40.744019	-122.954361
"WEED, CA"	CA	WEED	SISKIYOU	41.455464	-122.45855
"WEIMAR, CA"	CA	WEIMAR	PLACER	39.009734	-120.978404
"WELDON, CA"	CA	WELDON	KERN	35.515746	-118.188843
"WENDEL, CA"	CA	WENDEL	LASSEN	40.37623	-120.29072
"WEOTT, CA"	CA	WEOTT	HUMBOLDT	40.307348	-123.903526
"WEST COVINA, CA"	CA	WEST COVINA	LOS ANGELES	34.05640725	-117.9162175
"WEST HILLS, CA"	CA	WEST HILLS	LOS ANGELES	34.2053025	-118.638679
"WEST HOLLYWOOD, CA"	CA	WEST HOLLYWOOD	LOS ANGELES	34.094175	-118.38091
"WEST POINT, CA"	CA	WEST POINT	CALAVERAS	38.434656	-120.377066
"WEST SACRAMENTO, CA"	CA	WEST SACRAMENTO	YOLO	38.5959625	-121.5469108
"WESTLAKE VILLAGE, CA"	CA	WESTLAKE VILLAGE	VENTURA	34.160126	-118.857306
"WESTLEY, CA"	CA	WESTLEY	STANISLAUS	37.539532	-121.289166
"WESTMINSTER, CA"	CA	WESTMINSTER	ORANGE	33.752765	-117.9961887
"WESTMORLAND, CA"	CA	WESTMORLAND	IMPERIAL	33.078737	-115.658291
"WESTPORT, CA"	CA	WESTPORT	MENDOCINO	39.688571	-123.721297
"WESTWOOD, CA"	CA	WESTWOOD	LASSEN	40.269174	-121.086099
"WHEATLAND, CA"	CA	WHEATLAND	YUBA	39.051042	-121.397656
"WHISKEYTOWN, CA"	CA	WHISKEYTOWN	SHASTA	40.623942	-122.568791
"WHITETHORN, CA"	CA	WHITETHORN	HUMBOLDT	40.002553	-124.007093
"WHITEWATER, CA"	CA	WHITEWATER	RIVERSIDE	33.942395	-116.657677
"WHITMORE, CA"	CA	WHITMORE	SHASTA	40.645664	-121.839902
"WHITTIER, CA"	CA	WHITTIER	LOS ANGELES	33.9686121	-118.0304895
"WILDOMAR, CA"	CA	WILDOMAR	RIVERSIDE	33.62168	-117.259824
"WILLIAMS, CA"	CA	WILLIAMS	COLUSA	39.099886	-122.270845
"WILLITS, CA"	CA	WILLITS	MENDOCINO	39.487969	-123.358414
"WILLOW CREEK, CA"	CA	WILLOW CREEK	HUMBOLDT	40.962011	-123.642928
"WILLOWS, CA"	CA	WILLOWS	GLENN	39.544795	-122.266428
"WILMINGTON, CA"	CA	WILMINGTON	LOS ANGELES	33.779458	-118.260585
"WILSEYVILLE, CA"	CA	WILSEYVILLE	CALAVERAS	38.379026	-120.442454
"WILTON, CA"	CA	WILTON	SACRAMENTO	38.398772	-121.254699
"WINCHESTER, CA"	CA	WINCHESTER	RIVERSIDE	33.634437	-117.070616
"WINDSOR, CA"	CA	WINDSOR	SONOMA	38.54388	-122.810608
"WINNETKA, CA"	CA	WINNETKA	LOS ANGELES	34.2094435	-118.575293
"WINTERHAVEN, CA"	CA	WINTERHAVEN	IMPERIAL	33.054925	-115.06981
"WINTERS, CA"	CA	WINTERS	YOLO	38.577279	-122.01084
"WINTON, CA"	CA	WINTON	MERCED	37.429506	-120.553673
"WISHON, CA"	CA	WISHON	MADERA	37.277106	-119.555693
"WITTER SPRINGS, CA"	CA	WITTER SPRINGS	LAKE	39.189339	-122.974075
"WOFFORD HEIGHTS, CA"	CA	WOFFORD HEIGHTS	KERN	35.617279	-118.609837
"WOODACRE, CA"	CA	WOODACRE	MARIN	37.998914	-122.642704
"WOODBRIDGE, CA"	CA	WOODBRIDGE	SAN JOAQUIN	38.169055	-121.312919
"WOODLAKE, CA"	CA	WOODLAKE	TULARE	36.537813	-119.034152
"WOODLAND, CA"	CA	WOODLAND	YOLO	38.6883575	-121.771989
"WOODLAND HILLS, CA"	CA	WOODLAND HILLS	LOS ANGELES	34.17025875	-118.5998635
"WOODY, CA"	CA	WOODY	KERN	35.72816	-118.854373
"WRIGHTWOOD, CA"	CA	WRIGHTWOOD	SAN BERNARDINO	34.347704	-117.57373
"YERMO, CA"	CA	YERMO	SAN BERNARDINO	34.888345	-117.056801
"YETTEM, CA"	CA	YETTEM	TULARE	36.4867	-119.2587
"YOLO, CA"	CA	YOLO	YOLO	38.7353	-121.7883
"YORBA LINDA, CA"	CA	YORBA LINDA	ORANGE	33.88906633	-117.7731143
"YORKVILLE, CA"	CA	YORKVILLE	MENDOCINO	38.93089	-123.300184
"YOSEMITE NATIONAL PARK, CA"	CA	YOSEMITE NATIONAL PARK	MARIPOSA	37.74796	-119.523649
"YOUNTVILLE, CA"	CA	YOUNTVILLE	NAPA	38.410768	-122.368092
"YREKA, CA"	CA	YREKA	SISKIYOU	41.754029	-122.67418
"YUBA CITY, CA"	CA	YUBA CITY	SUTTER	39.07800233	-121.6406267
"YUCAIPA, CA"	CA	YUCAIPA	SAN BERNARDINO	34.044888	-117.013718
"YUCCA VALLEY, CA"	CA	YUCCA VALLEY	SAN BERNARDINO	34.1380305	-116.465073
"ZAMORA, CA"	CA	ZAMORA	YOLO	38.816608	-121.919729
"ZENIA, CA"	CA	ZENIA	TRINITY	40.20318	-123.383558
"AGATE, CO"	CO	AGATE	ELBERT	39.379655	-103.965522
"AGUILAR, CO"	CO	AGUILAR	LAS ANIMAS	37.375228	-104.744426
"AKRON, CO"	CO	AKRON	WASHINGTON	40.096784	-103.177423
"ALAMOSA, CO"	CO	ALAMOSA	ALAMOSA	37.463051	-105.825563
"ALLENSPARK, CO"	CO	ALLENSPARK	BOULDER	40.226643	-105.510796
"ALMA, CO"	CO	ALMA	PARK	39.307336	-106.105067
"ALMONT, CO"	CO	ALMONT	GUNNISON	38.804313	-106.630478
"AMHERST, CO"	CO	AMHERST	PHILLIPS	40.681918	-102.149596
"ANTON, CO"	CO	ANTON	WASHINGTON	39.683691	-103.094768
"ANTONITO, CO"	CO	ANTONITO	CONEJOS	37.198711	-106.198432
"ARAPAHOE, CO"	CO	ARAPAHOE	CHEYENNE	38.831014	-102.188633
"ARBOLES, CO"	CO	ARBOLES	ARCHULETA	37.123499	-107.409612
"ARLINGTON, CO"	CO	ARLINGTON	KIOWA	38.394434	-103.357217
"ARRIBA, CO"	CO	ARRIBA	LINCOLN	39.346733	-103.275865
"ARVADA, CO"	CO	ARVADA	JEFFERSON	39.82237857	-105.1112216
"ASPEN, CO"	CO	ASPEN	PITKIN	39.165069	-106.7983945
"ATWOOD, CO"	CO	ATWOOD	LOGAN	40.523072	-103.273046
"AULT, CO"	CO	AULT	WELD	40.696423	-104.64373
"AURORA, CO"	CO	AURORA	ARAPAHOE	39.68636758	-104.7986936
"AUSTIN, CO"	CO	AUSTIN	DELTA	38.802685	-107.935192
"AVON, CO"	CO	AVON	EAGLE	39.621602	-106.495048
"AVONDALE, CO"	CO	AVONDALE	PUEBLO	38.073007	-104.492289
"BAILEY, CO"	CO	BAILEY	PARK	39.41654	-105.617335
"BASALT, CO"	CO	BASALT	EAGLE	39.343184	-106.82072
"BATTLEMENT MESA, CO"	CO	BATTLEMENT MESA	GARFIELD	39.4545	-108.0524
"BAYFIELD, CO"	CO	BAYFIELD	LA PLATA	37.377315	-107.470719
"BEDROCK, CO"	CO	BEDROCK	MONTROSE	38.326514	-108.880468
"BELLVUE, CO"	CO	BELLVUE	LARIMER	40.622919	-105.548358
"BENNETT, CO"	CO	BENNETT	ADAMS	39.698858	-104.416211
"BERTHOUD, CO"	CO	BERTHOUD	LARIMER	40.29331	-105.109739
"BETHUNE, CO"	CO	BETHUNE	KIT CARSON	39.266049	-102.44635
"BEULAH, CO"	CO	BEULAH	PUEBLO	38.086874	-104.922326
"BLACK HAWK, CO"	CO	BLACK HAWK	GILPIN	39.801188	-105.502209
"BLANCA, CO"	CO	BLANCA	COSTILLA	37.402412	-105.589032
"BONCARBO, CO"	CO	BONCARBO	LAS ANIMAS	37.22663	-104.7503
"BOND, CO"	CO	BOND	EAGLE	39.81652	-106.629813
"BOONE, CO"	CO	BOONE	PUEBLO	38.307745	-104.310504
"BOULDER, CO"	CO	BOULDER	BOULDER	40.01431181	-105.2705279
"BRANSON, CO"	CO	BRANSON	LAS ANIMAS	37.278805	-103.72116
"BRECKENRIDGE, CO"	CO	BRECKENRIDGE	SUMMIT	39.467769	-105.9962
"BRIGGSDALE, CO"	CO	BRIGGSDALE	WELD	40.617628	-104.220674
"BRIGHTON, CO"	CO	BRIGHTON	ADAMS	39.948873	-104.852415
"BROOMFIELD, CO"	CO	BROOMFIELD	BROOMFIELD	39.93771433	-105.0596833
"BRUSH, CO"	CO	BRUSH	MORGAN	40.16755	-103.584073
"BUENA VISTA, CO"	CO	BUENA VISTA	CHAFFEE	38.861894	-106.253051
"BUFFALO CREEK, CO"	CO	BUFFALO CREEK	JEFFERSON	39.338918	-105.220347
"BURLINGTON, CO"	CO	BURLINGTON	KIT CARSON	39.309113	-102.23743
"BURNS, CO"	CO	BURNS	EAGLE	39.84861	-106.964514
"BYERS, CO"	CO	BYERS	ARAPAHOE	39.78304	-104.071578
"CAHONE, CO"	CO	CAHONE	DOLORES	37.763526	-108.36505
"CALHAN, CO"	CO	CALHAN	EL PASO	39.029982	-104.293602
"CAMPO, CO"	CO	CAMPO	BACA	37.152768	-102.490407
"CANON CITY, CO"	CO	CANON CITY	FREMONT	38.438919	-105.293098
"CAPULIN, CO"	CO	CAPULIN	CONEJOS	37.291695	-106.129389
"CARBONDALE, CO"	CO	CARBONDALE	GARFIELD	39.246802	-107.226118
"CARR, CO"	CO	CARR	WELD	40.869986	-104.906968
"CASCADE, CO"	CO	CASCADE	EL PASO	38.922976	-104.9682
"CASTLE ROCK, CO"	CO	CASTLE ROCK	DOUGLAS	39.37055967	-104.859412
"CEDAREDGE, CO"	CO	CEDAREDGE	DELTA	38.958259	-107.901149
"CENTER, CO"	CO	CENTER	RIO GRANDE	37.822236	-106.094194
"CENTRAL CITY, CO"	CO	CENTRAL CITY	GILPIN	39.81532	-105.569418
"CHAMA, CO"	CO	CHAMA	COSTILLA	37.204594	-105.343545
"CHERAW, CO"	CO	CHERAW	OTERO	38.108652	-103.512578
"CHEYENNE WELLS, CO"	CO	CHEYENNE WELLS	CHEYENNE	38.829724	-102.406207
"CHROMO, CO"	CO	CHROMO	ARCHULETA	37.153748	-106.712546
"CIMARRON, CO"	CO	CIMARRON	MONTROSE	38.373044	-107.506111
"CLARK, CO"	CO	CLARK	ROUTT	40.735674	-106.8879
"CLIFTON, CO"	CO	CLIFTON	MESA	39.084973	-108.431819
"CLIMAX, CO"	CO	CLIMAX	LAKE	39.3389	-106.316
"COAL CREEK, CO"	CO	COAL CREEK	FREMONT	38.364028	-105.143064
"COALDALE, CO"	CO	COALDALE	FREMONT	38.356747	-105.811079
"COALMONT, CO"	CO	COALMONT	JACKSON	40.526972	-106.460874
"COLLBRAN, CO"	CO	COLLBRAN	MESA	39.204836	-107.769072
"COLORADO CITY, CO"	CO	COLORADO CITY	PUEBLO	37.951814	-104.813142
"COLORADO SPRINGS, CO"	CO	COLORADO SPRINGS	EL PASO	38.8406598	-104.7743233
"COMMERCE CITY, CO"	CO	COMMERCE CITY	ADAMS	39.85027	-104.8547325
"COMO, CO"	CO	COMO	PARK	39.207046	-105.820608
"CONEJOS, CO"	CO	CONEJOS	CONEJOS	37.0884	-106.0194
"CONIFER, CO"	CO	CONIFER	JEFFERSON	39.447453	-105.262621
"COPE, CO"	CO	COPE	WASHINGTON	39.690538	-103.009435
"CORTEZ, CO"	CO	CORTEZ	MONTEZUMA	37.347179	-108.733778
"CORY, CO"	CO	CORY	DELTA	38.7882	-107.9864
"COTOPAXI, CO"	CO	COTOPAXI	FREMONT	38.451645	-105.513795
"COWDREY, CO"	CO	COWDREY	JACKSON	40.903324	-106.393194
"CRAIG, CO"	CO	CRAIG	MOFFAT	40.563773	-107.639006
"CRAWFORD, CO"	CO	CRAWFORD	DELTA	38.631781	-107.679494
"CREEDE, CO"	CO	CREEDE	MINERAL	37.683672	-106.997638
"CRESTED BUTTE, CO"	CO	CRESTED BUTTE	GUNNISON	38.902189	-106.940193
"CRESTONE, CO"	CO	CRESTONE	SAGUACHE	37.948865	-105.666372
"CRIPPLE CREEK, CO"	CO	CRIPPLE CREEK	TELLER	38.789718	-105.188601
"CROOK, CO"	CO	CROOK	LOGAN	40.898522	-102.806711
"CROWLEY, CO"	CO	CROWLEY	CROWLEY	38.195308	-103.849176
"DACONO, CO"	CO	DACONO	WELD	40.065913	-104.952018
"DE BEQUE, CO"	CO	DE BEQUE	MESA	39.406873	-108.526022
"DEER TRAIL, CO"	CO	DEER TRAIL	ARAPAHOE	39.601616	-104.011013
"DEL NORTE, CO"	CO	DEL NORTE	RIO GRANDE	37.639914	-106.46606
"DELTA, CO"	CO	DELTA	DELTA	38.713438	-108.103767
"DENVER, CO"	CO	DENVER	DENVER	39.73346629	-104.9649495
"DILLON, CO"	CO	DILLON	SUMMIT	39.606906	-105.940941
"DINOSAUR, CO"	CO	DINOSAUR	MOFFAT	40.3626325	-108.5588325
"DIVIDE, CO"	CO	DIVIDE	TELLER	38.929656	-105.167164
"DOLORES, CO"	CO	DOLORES	MONTEZUMA	37.497981	-108.333227
"DOVE CREEK, CO"	CO	DOVE CREEK	DOLORES	37.682987	-108.918837
"DRAKE, CO"	CO	DRAKE	LARIMER	40.467763	-105.367108
"DUMONT, CO"	CO	DUMONT	CLEAR CREEK	39.783157	-105.620216
"DUPONT, CO"	CO	DUPONT	ADAMS	39.844535	-104.918133
"DURANGO, CO"	CO	DURANGO	LA PLATA	37.28339333	-107.8683113
"EADS, CO"	CO	EADS	KIOWA	38.449461	-102.745102
"EAGLE, CO"	CO	EAGLE	EAGLE	39.555664	-106.705078
"EASTLAKE, CO"	CO	EASTLAKE	ADAMS	39.9239	-104.9606
"EATON, CO"	CO	EATON	WELD	40.536928	-104.660564
"ECKERT, CO"	CO	ECKERT	DELTA	38.891438	-108.069573
"ECKLEY, CO"	CO	ECKLEY	YUMA	40.053249	-102.496823
"EDWARDS, CO"	CO	EDWARDS	EAGLE	39.628898	-106.64039
